Date,Sitting_CID,MP_Name,Attendance
2018-10-01,013-002-094-083,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health.",False
2018-10-01,013-002-094-083,Mr Kwek Hian Chuan Henry (Nee Soon).,False
2018-10-01,013-002-094-083,Mr Lee Yi Shyan (East Coast).,False
2018-10-01,013-002-094-083,Mr Sitoh Yih Pin (Potong Pasir).,False
2018-10-01,013-002-094-083,Ms Tin Pei Ling (MacPherson).,False
2018-10-01,013-002-094-083,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)). ,True
2018-10-01,013-002-094-083,"Mr Amrin Amin (Sembawang), Senior Parliamentary Secretary to the Ministers for Health and Home Affairs. ",True
2018-10-01,013-002-094-083,Mr Ang Hin Kee (Ang Mo Kio). ,True
2018-10-01,013-002-094-083,Mr Ang Wei Neng (Jurong). ,True
2018-10-01,013-002-094-083,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Ministers for Culture, Community and Youth and Transport. ",True
2018-10-01,013-002-094-083,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Trade and Industry and Government Whip. ",True
2018-10-01,013-002-094-083,Miss Cheryl Chan Wei Ling (Fengshan). ,True
2018-10-01,013-002-094-083,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Education and Trade and Industry. ",True
2018-10-01,013-002-094-083,Mr Chen Show Mao (Aljunied). ,True
2018-10-01,013-002-094-083,Miss Cheng Li Hui (Tampines). ,True
2018-10-01,013-002-094-083,Dr Chia Shi-Lu (Tanjong Pagar). ,True
2018-10-01,013-002-094-083,"Mr Charles Chong (Punggol East), Deputy Speaker. ",True
2018-10-01,013-002-094-083,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2018-10-01,013-002-094-083,Mr Desmond Choo (Tampines). ,True
2018-10-01,013-002-094-083,Mr Darryl David (Ang Mo Kio). ,True
2018-10-01,013-002-094-083,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2018-10-01,013-002-094-083,Mr Arasu Duraisamy (Nominated Member). ,True
2018-10-01,013-002-094-083,Prof Fatimah Lateef (Marine Parade). ,True
2018-10-01,013-002-094-083,Mr Cedric Foo Chee Keng (Pioneer). ,True
2018-10-01,013-002-094-083,Mr Douglas Foo (Nominated Member). ,True
2018-10-01,013-002-094-083,Ms Foo Mee Har (West Coast). ,True
2018-10-01,013-002-094-083,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House. ",True
2018-10-01,013-002-094-083,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2018-10-01,013-002-094-083,Mr Goh Chok Tong (Marine Parade). ,True
2018-10-01,013-002-094-083,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member). ,True
2018-10-01,013-002-094-083,"Mr Heng Chee How (Jalan Besar), Senior Minister of State for Defence. ",True
2018-10-01,013-002-094-083,"Mr Heng Swee Keat (Tampines), Minister for Finance. ",True
2018-10-01,013-002-094-083,Mr Terence Ho Wee San (Nominated Member). ,True
2018-10-01,013-002-094-083,"Ms Indranee Rajah (Tanjong Pagar), Minister, Prime Minister's Office and Second Minister for Education and Finance. ",True
2018-10-01,013-002-094-083,Dr Intan Azura Mokhtar (Ang Mo Kio). ,True
2018-10-01,013-002-094-083,"Mr S Iswaran (West Coast), Minister for Communications and Information and Minister-in-charge of Trade Relations. ",True
2018-10-01,013-002-094-083,"Dr Janil Puthucheary (Pasir Ris-Punggol), Senior Minister of State for Communications and Information and Transport. ",True
2018-10-01,013-002-094-083,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport. ",True
2018-10-01,013-002-094-083,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for the Environment and Water Resources and Health. ",True
2018-10-01,013-002-094-083,"Dr Koh Poh Koon (Ang Mo Kio), Senior Minister of State for Trade and Industry. ",True
2018-10-01,013-002-094-083,"Dr Lam Pin Min (Sengkang West), Senior Minister of State for Health and Transport. ",True
2018-10-01,013-002-094-083,Er Dr Lee Bee Wah (Nee Soon). ,True
2018-10-01,013-002-094-083,"Mr Desmond Lee (Jurong), Minister for Social and Family Development and Second Minister for National Development and Deputy Leader of the House. ",True
2018-10-01,013-002-094-083,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister. ",True
2018-10-01,013-002-094-083,Mr Liang Eng Hwa (Holland-Bukit Timah). ,True
2018-10-01,013-002-094-083,"Mr Lim Biow Chuan (Mountbatten), Deputy Speaker. ",True
2018-10-01,013-002-094-083,Mr Lim Hng Kiang (West Coast). ,True
2018-10-01,013-002-094-083,Prof Lim Sun Sun (Nominated Member). ,True
2018-10-01,013-002-094-083,Mr Lim Swee Say (East Coast). ,True
2018-10-01,013-002-094-083,Ms Sylvia Lim (Aljunied). ,True
2018-10-01,013-002-094-083,Dr Lim Wee Kiak (Sembawang). ,True
2018-10-01,013-002-094-083,Mr Low Thia Khiang (Aljunied). ,True
2018-10-01,013-002-094-083,"Ms Low Yen Ling (Chua Chu Kang), Senior Parliamentary Secretary to the Ministers for Education and Manpower. ",True
2018-10-01,013-002-094-083,"Mr Masagos Zulkifli B M M (Tampines), Minister for the Environment and Water Resources and Minister-in-charge of Muslim Affairs. ",True
2018-10-01,013-002-094-083,"Dr Mohamad Maliki Bin Osman (East Coast), Senior Minister of State for Defence and Foreign Affairs. ",True
2018-10-01,013-002-094-083,Mr Mohamed Irshad (Nominated Member). ,True
2018-10-01,013-002-094-083,Mr Muhamad Faisal Bin Abdul Manap (Aljunied). ,True
2018-10-01,013-002-094-083,"Assoc Prof Dr Muhammad Faishal Ibrahim (Nee Soon), Senior Parliamentary Secretary to the Ministers for Education and Social and Family Development. ",True
2018-10-01,013-002-094-083,Mr Murali Pillai (Bukit Batok). ,True
2018-10-01,013-002-094-083,Dr Lily Neo (Jalan Besar). ,True
2018-10-01,013-002-094-083,"Mr Ng Chee Meng (Pasir Ris-Punggol), Minister, Prime Minister's Office. ",True
2018-10-01,013-002-094-083,"Dr Ng Eng Hen (Bishan-Toa Payoh), Minister for Defence. ",True
2018-10-01,013-002-094-083,Mr Louis Ng Kok Kwang (Nee Soon). ,True
2018-10-01,013-002-094-083,Ms Anthea Ong (Nominated Member). ,True
2018-10-01,013-002-094-083,Mr Ong Teng Koon (Marsiling-Yew Tee). ,True
2018-10-01,013-002-094-083,"Mr Ong Ye Kung (Sembawang), Minister for Education. ",True
2018-10-01,013-002-094-083,Ms Joan Pereira (Tanjong Pagar). ,True
2018-10-01,013-002-094-083,Mr Leon Perera (Non-Constituency Member). ,True
2018-10-01,013-002-094-083,Ms Denise Phua Lay Peng (Jalan Besar). ,True
2018-10-01,013-002-094-083,Mr Png Eng Huat (Hougang). ,True
2018-10-01,013-002-094-083,Mr Pritam Singh (Aljunied). ,True
2018-10-01,013-002-094-083,Ms Irene Quay Siew Ching (Nominated Member). ,True
2018-10-01,013-002-094-083,Ms Rahayu Mahzam (Jurong). ,True
2018-10-01,013-002-094-083,Mr Saktiandi Supaat (Bishan-Toa Payoh). ,True
2018-10-01,013-002-094-083,Mr Seah Kian Peng (Marine Parade). ,True
2018-10-01,013-002-094-083,"Mr K Shanmugam (Nee Soon), Minister for Home Affairs and Law. ",True
2018-10-01,013-002-094-083,"Ms Sim Ann (Holland-Bukit Timah), Senior Minister of State for Communications and Information and Culture, Community and Youth and Deputy Government Whip. ",True
2018-10-01,013-002-094-083,"Ms Sun Xueling (Pasir Ris-Punggol), Senior Parliamentary Secretary to the Ministers for Home Affairs and National Development. ",True
2018-10-01,013-002-094-083,"Mr Sam Tan Chin Siong (Radin Mas), Minister of State for Foreign Affairs and Social and Family Development and Deputy Government Whip. ",True
2018-10-01,013-002-094-083,Mr Dennis Tan Lip Fong (Non-Constituency Member). ,True
2018-10-01,013-002-094-083,Ms Jessica Tan Soon Neo (East Coast). ,True
2018-10-01,013-002-094-083,"Dr Tan Wu Meng (Jurong), Senior Parliamentary Secretary to the Ministers for Foreign Affairs and Trade and Industry. ",True
2018-10-01,013-002-094-083,Mr Patrick Tay Teck Guan (West Coast). ,True
2018-10-01,013-002-094-083,"Mr Teo Chee Hean (Pasir Ris-Punggol), Deputy Prime Minister and Coordinating Minister for National Security. ",True
2018-10-01,013-002-094-083,Dr Teo Ho Pin (Bukit Panjang). ,True
2018-10-01,013-002-094-083,"Mrs Josephine Teo (Bishan-Toa Payoh), Minister for Manpower and Second Minister for Home Affairs. ",True
2018-10-01,013-002-094-083,Mr Teo Ser Luck (Pasir Ris-Punggol). ,True
2018-10-01,013-002-094-083,"Mr Tharman Shanmugaratnam (Jurong), Deputy Prime Minister and Coordinating Minister for Economic and Social Policies. ",True
2018-10-01,013-002-094-083,Assoc Prof Walter Theseira (Nominated Member). ,True
2018-10-01,013-002-094-083,"Mr Edwin Tong Chun Fai (Marine Parade), Senior Minister of State for Health and Law. ",True
2018-10-01,013-002-094-083,Mr Vikram Nair (Sembawang). ,True
2018-10-01,013-002-094-083,"Dr Vivian Balakrishnan (Holland-Bukit Timah), Minister for Foreign Affairs. ",True
2018-10-01,013-002-094-083,"Mr Lawrence Wong (Marsiling-Yew Tee), Minister for National Development and Second Minister for Finance. ",True
2018-10-01,013-002-094-083,Assoc Prof Dr Yaacob Ibrahim (Jalan Besar). ,True
2018-10-01,013-002-094-083,Mr Alex Yam (Marsiling-Yew Tee). ,True
2018-10-01,013-002-094-083,Mr Yee Chia Hsing (Chua Chu Kang). ,True
2018-10-01,013-002-094-083,Ms Yip Pin Xiu (Nominated Member). ,True
2018-10-01,013-002-094-083,Mr Melvin Yong Yik Chye (Tanjong Pagar). ,True
2018-10-01,013-002-094-083,Mr Zainal Sapari (Pasir Ris-Punggol). ,True
2018-10-01,013-002-094-083,"Mr Zaqy Mohamad (Chua Chu Kang), Minister of State for Manpower and National Development. ",True
