Date,Sitting_CID,MP_Name,Attendance
2016-01-28,013-001-094-005,Mdm SPEAKER (Mdm Halimah Yacob (Marsiling-Yew Tee)).,True
2016-01-28,013-001-094-005,"Mr Amrin Amin (Sembawang), Parliamentary Secretary to the Minister for Home Affairs.",True
2016-01-28,013-001-094-005,Mr Ang Hin Kee (Ang Mo Kio).,True
2016-01-28,013-001-094-005,Mr Ang Wei Neng (Jurong).,True
2016-01-28,013-001-094-005,"Mr Baey Yam Keng (Tampines), Parliamentary Secretary to the Minister for Culture, Community and Youth.",True
2016-01-28,013-001-094-005,"Mr Chan Chun Sing (Tanjong Pagar), Minister, Prime Minister's Office and Government Whip.",True
2016-01-28,013-001-094-005,Ms Cheryl Chan Wei Ling (Fengshan).,True
2016-01-28,013-001-094-005,"Mr Chee Hong Tat (Bishan-Toa Payoh), Minister of State for Communications and Information and Health.",True
2016-01-28,013-001-094-005,Ms Cheng Li Hui (Tampines).,True
2016-01-28,013-001-094-005,Dr Chia Shi-Lu (Tanjong Pagar).,True
2016-01-28,013-001-094-005,"Mr Charles Chong (Punggol East), Deputy Speaker.",True
2016-01-28,013-001-094-005,Mr Chong Kee Hiong (Bishan-Toa Payoh).,True
2016-01-28,013-001-094-005,Mr Desmond Choo (Tampines).,True
2016-01-28,013-001-094-005,Mr Darryl David (Ang Mo Kio).,True
2016-01-28,013-001-094-005,Mr Christopher de Souza (Holland-Bukit Timah).,True
2016-01-28,013-001-094-005,Assoc Prof Fatimah Lateef (Marine Parade).,True
2016-01-28,013-001-094-005,Mr Cedric Foo Chee Keng (Pioneer).,True
2016-01-28,013-001-094-005,Ms Foo Mee Har (West Coast).,True
2016-01-28,013-001-094-005,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House.",True
2016-01-28,013-001-094-005,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health.",True
2016-01-28,013-001-094-005,Mr Gan Thiam Poh (Ang Mo Kio).,True
2016-01-28,013-001-094-005,Mr Goh Chok Tong (Marine Parade).,True
2016-01-28,013-001-094-005,"Mr Heng Chee How (Jalan Besar), Senior Minister of State, Prime Minister's Office.",True
2016-01-28,013-001-094-005,"Mr Heng Swee Keat (Tampines), Minister for Finance.",True
2016-01-28,013-001-094-005,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Finance and Law.",True
2016-01-28,013-001-094-005,Dr Intan Azura Mokhtar (Ang Mo Kio).,True
2016-01-28,013-001-094-005,"Dr Janil Puthucheary (Pasir Ris-Punggol), Minister of State for Communications and Information and Education.",True
2016-01-28,013-001-094-005,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport.",True
2016-01-28,013-001-094-005,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and the Environment and Water Resources.",True
2016-01-28,013-001-094-005,"Dr Koh Poh Koon (Ang Mo Kio), Minister of State for National Development and Trade and Industry.",True
2016-01-28,013-001-094-005,Mr Kwek Hian Chuan Henry (Nee Soon).,True
2016-01-28,013-001-094-005,"Dr Lam Pin Min (Sengkang West), Minister of State for Health.",True
2016-01-28,013-001-094-005,Er Dr Lee Bee Wah (Nee Soon).,True
2016-01-28,013-001-094-005,"Mr Desmond Lee (Jurong), Senior Minister of State for Home Affairs and National Development and Deputy Leader of the House.",True
2016-01-28,013-001-094-005,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister.",True
2016-01-28,013-001-094-005,Mr Lee Yi Shyan (East Coast).,True
2016-01-28,013-001-094-005,Mr Liang Eng Hwa (Holland-Bukit Timah).,True
2016-01-28,013-001-094-005,"Mr Lim Biow Chuan (Mountbatten), Deputy Speaker.",True
2016-01-28,013-001-094-005,"Mr Lim Hng Kiang (West Coast), Minister for Trade and Industry (Trade).",True
2016-01-28,013-001-094-005,"Mr Lim Swee Say (East Coast), Minister for Manpower.",True
2016-01-28,013-001-094-005,Ms Sylvia Lim (Aljunied).,True
2016-01-28,013-001-094-005,Dr Lim Wee Kiak (Sembawang).,True
2016-01-28,013-001-094-005,Mr Low Thia Khiang (Aljunied).,True
