Date,Sitting_CID,MP_Name,Attendance
2013-02-08,012-001-090-006,Mdm SPEAKER (Mdm Halimah Yacob (Jurong)).,True
2013-02-08,012-001-090-006,Mr Ang Hin Kee (Ang Mo Kio).,True
2013-02-08,012-001-090-006,Mr Ang Wei Neng (Jurong).,True
2013-02-08,012-001-090-006,Mr Baey Yam Keng (Tampines).,True
2013-02-08,012-001-090-006,"Mr Chan Chun Sing (Tanjong Pagar), Acting Minister for Social and Family Development and Senior Minister of State for Defence.",True
2013-02-08,012-001-090-006,Mr Chen Show Mao (Aljunied).,True
2013-02-08,012-001-090-006,Mrs Lina Chiam (Non-Constituency Member).,True
2013-02-08,012-001-090-006,"Mr Charles Chong (Joo Chiat), Deputy Speaker.",True
2013-02-08,012-001-090-006,Mr Christopher de Souza (Holland-Bukit Timah).,True
2013-02-08,012-001-090-006,Mr R Dhinakaran (Nominated Member).,True
2013-02-08,012-001-090-006,Ms Faizah Jamal (Nominated Member).,True
2013-02-08,012-001-090-006,Mr Nicholas Fang (Nominated Member).,True
2013-02-08,012-001-090-006,Assoc Prof Fatimah Lateef (Marine Parade).,True
2013-02-08,012-001-090-006,Mr Arthur Fong (West Coast).,True
2013-02-08,012-001-090-006,Mr Cedric Foo Chee Keng (Pioneer).,True
2013-02-08,012-001-090-006,Ms Foo Mee Har (West Coast).,True
2013-02-08,012-001-090-006,"Ms Grace Fu Hai Yien (Yuhua), Minister, Prime Minister's Office, Second Minister for the Environment and Water Resources and Second Minister for Foreign Affairs.",True
2013-02-08,012-001-090-006,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health and Government Whip.",True
2013-02-08,012-001-090-006,Mr Gan Thiam Poh (Pasir Ris-Punggol).,True
2013-02-08,012-001-090-006,Mr Gerald Giam Yean Song (Non-Constituency Member).,True
2013-02-08,012-001-090-006,Mr Goh Chok Tong (Marine Parade).,True
2013-02-08,012-001-090-006,"Mr Hawazi Daipi (Sembawang), Senior Parliamentary Secretary to the Minister for Education and Acting Minister for Manpower.",True
2013-02-08,012-001-090-006,"Mr Heng Chee How (Whampoa), Senior Minister of State, Prime Minister's Office and Deputy Leader of the House.",True
2013-02-08,012-001-090-006,"Mr Heng Swee Keat (Tampines), Minister for Education.",True
2013-02-08,012-001-090-006,Mr Hri Kumar Nair (Bishan-Toa Payoh).,True
2013-02-08,012-001-090-006,Mr Inderjit Singh (Ang Mo Kio).,True
2013-02-08,012-001-090-006,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Education and Law.",True
2013-02-08,012-001-090-006,Dr Intan Azura Mokhtar (Ang Mo Kio).,True
2013-02-08,012-001-090-006,"Mr S Iswaran (West Coast), Minister, Prime Minister's Office, Second Minister for Home Affairs and Second Minister for Trade and Industry.",True
2013-02-08,012-001-090-006,Dr Janil Puthucheary (Pasir Ris-Punggol).,True
2013-02-08,012-001-090-006,"Mr Khaw Boon Wan (Sembawang), Minister for National Development.",True
2013-02-08,012-001-090-006,"Dr Amy Khor Lean Suan (Hong Kah North), Minister of State for Health and Manpower and Deputy Government Whip.",True
2013-02-08,012-001-090-006,Ms Janice Koh (Nominated Member).,True
2013-02-08,012-001-090-006,Dr Lam Pin Min (Sengkang West).,True
2013-02-08,012-001-090-006,Er Dr Lee Bee Wah (Nee Soon).,True
2013-02-08,012-001-090-006,Mr Desmond Lee (Jurong).,True
2013-02-08,012-001-090-006,Ms Ellen Lee (Sembawang).,True
2013-02-08,012-001-090-006,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister.",True
2013-02-08,012-001-090-006,Ms Lee Li Lian (Punggol East).,True
2013-02-08,012-001-090-006,"Mr Lee Yi Shyan (East Coast), Senior Minister of State for National Development and Trade and Industry.",True
2013-02-08,012-001-090-006,Mr Liang Eng Hwa (Holland-Bukit Timah).,True
2013-02-08,012-001-090-006,Mr Laurence Lien (Nominated Member).,True
2013-02-08,012-001-090-006,Ms Mary Liew (Nominated Member).,True
2013-02-08,012-001-090-006,Mr Lim Biow Chuan (Mountbatten).,True
2013-02-08,012-001-090-006,"Mr Lim Hng Kiang (West Coast), Minister for Trade and Industry.",True
2013-02-08,012-001-090-006,"Mr Lim Swee Say (East Coast), Minister, Prime Minister's Office.",True
2013-02-08,012-001-090-006,Ms Sylvia Lim (Aljunied).,True
2013-02-08,012-001-090-006,Dr Lim Wee Kiak (Nee Soon).,True
2013-02-08,012-001-090-006,Miss Penny Low (Pasir Ris-Punggol).,True
2013-02-08,012-001-090-006,Mr Low Thia Khiang (Aljunied).,True
2013-02-08,012-001-090-006,Ms Low Yen Ling (Chua Chu Kang).,True
2013-02-08,012-001-090-006,"Mr Lui Tuck Yew (Moulmein-Kallang), Minister for Transport",True
2013-02-08,012-001-090-006,Mr Mah Bow Tan (Tampines).,True
2013-02-08,012-001-090-006,"Mr Masagos Zulkifli B M M (Tampines), Senior Minister of State for Foreign Affairs and Home Affairs.",True
2013-02-08,012-001-090-006,"Dr Mohamad Maliki Bin Osman (East Coast), Senior Parliamentary Secretary to the Minister for Defence and Minister for National Development.",True
2013-02-08,012-001-090-006,Mr Muhamad Faisal Bin Abdul Manap (Aljunied).,True
2013-02-08,012-001-090-006,"Assoc Prof Dr Muhammad Faishal Ibrahim (Nee Soon), Parliamentary Secretary to the Minister for Health and Minister for Transport.",True
2013-02-08,012-001-090-006,Dr Lily Neo (Tanjong Pagar).,True
2013-02-08,012-001-090-006,"Dr Ng Eng Hen (Bishan-Toa Payoh), Minister for Defence and Leader of the House.",True
2013-02-08,012-001-090-006,Ms Irene Ng Phek Hoong (Tampines).,True
2013-02-08,012-001-090-006,Mr David Ong (Jurong).,True
2013-02-08,012-001-090-006,Mr Ong Teng Koon (Sembawang).,True
2013-02-08,012-001-090-006,Ms Denise Phua Lay Peng (Moulmein-Kallang).,True
2013-02-08,012-001-090-006,Mr Png Eng Huat (Hougang).,True
2013-02-08,012-001-090-006,Mr Pritam Singh (Aljunied).,True
2013-02-08,012-001-090-006,"Mr Seah Kian Peng (Marine Parade), Deputy Speaker.",True
2013-02-08,012-001-090-006,Mr Seng Han Thong (Ang Mo Kio).,True
2013-02-08,012-001-090-006,"Mr K Shanmugam (Nee Soon), Minister for Foreign Affairs and Minister for Law.",True
2013-02-08,012-001-090-006,"Ms Sim Ann (Holland-Bukit Timah), Senior Parliamentary Secretary to the Minister for Communications and Information and Minister for Education.",True
2013-02-08,012-001-090-006,Mr Sitoh Yih Pin (Potong Pasir).,True
2013-02-08,012-001-090-006,"Mr Sam Tan Chin Siong (Radin Mas), Senior Parliamentary Secretary to the Acting Minister for Culture, Community and Youth and Minister for Foreign Affairs.",True
2013-02-08,012-001-090-006,"Mr Tan Chuan-Jin (Marine Parade), Acting Minister for Manpower and Senior Minister of State for National Development.",True
2013-02-08,012-001-090-006,Asst Prof Tan Kheng Boon Eugene (Nominated Member).,True
2013-02-08,012-001-090-006,Ms Jessica Tan Soon Neo (East Coast).,True
2013-02-08,012-001-090-006,Mr Patrick Tay Teck Guan (Nee Soon).,True
2013-02-08,012-001-090-006,"Mr Teo Chee Hean (Pasir Ris-Punggol), Deputy Prime Minister and Coordinating Minister for National Security and Minister for Home Affairs.",True
2013-02-08,012-001-090-006,"Dr Teo Ho Pin (Bukit Panjang), Deputy Government Whip.",True
2013-02-08,012-001-090-006,"Mrs Josephine Teo (Bishan-Toa Payoh), Minister of State for Finance and Transport.",True
2013-02-08,012-001-090-006,"Mr Teo Ser Luck (Pasir Ris-Punggol), Minister of State for Trade and Industry.",True
2013-02-08,012-001-090-006,Mr Teo Siong Seng (Nominated Member).,True
2013-02-08,012-001-090-006,"Mr Tharman Shanmugaratnam (Jurong), Deputy Prime Minister and Minister for Finance.",True
2013-02-08,012-001-090-006,Ms Tin Pei Ling (Marine Parade).,True
2013-02-08,012-001-090-006,Mr Edwin Tong Chun Fai (Moulmein-Kallang).,True
2013-02-08,012-001-090-006,Mr Vikram Nair (Sembawang).,True
2013-02-08,012-001-090-006,"Dr Vivian Balakrishnan (Holland-Bukit Timah), Minister for the Environment and Water Resources.",True
2013-02-08,012-001-090-006,Mr Wong Kan Seng (Bishan-Toa Payoh).,True
2013-02-08,012-001-090-006,"Mr Lawrence Wong (West Coast), Acting Minister for Culture, Community and Youth and Senior Minister of State for Communications and Information.",True
2013-02-08,012-001-090-006,"Assoc Prof Dr Yaacob Ibrahim (Moulmein-Kallang), Minister for Communications and Information and Minister-in-charge of Muslim Affairs.",True
2013-02-08,012-001-090-006,Mr Alex Yam (Chua Chu Kang).,True
2013-02-08,012-001-090-006,Mr Yee Jenn Jong (Non-Constituency Member).,True
2013-02-08,012-001-090-006,Mr Yeo Guat Kwang (Ang Mo Kio).,True
2013-02-08,012-001-090-006,Mr Zainal Sapari (Pasir Ris-Punggol).,True
2013-02-08,012-001-090-006,Mr Zainudin Nordin (Bishan-Toa Payoh).,True
2013-02-08,012-001-090-006,Mr Zaqy Mohamad (Chua Chu Kang).,True
2013-02-08,012-001-090-006,Dr Chia Shi-Lu (Tanjong Pagar).,False
2013-02-08,012-001-090-006,Mr Lee Kuan Yew (Tanjong Pagar).,False
2013-02-08,012-001-090-006,Mr Raymond Lim Siang Keat (East Coast).,False
2013-02-08,012-001-090-006,Ms Tan Su Shan (Nominated Member).,False
2013-02-08,012-001-090-006,Mr Alvin Yeo (Chua Chu Kang).,False
