Date,Sitting_CID,MP_Name,Attendance
2016-08-16,013-001-094-023,Mdm SPEAKER (Mdm Halimah Yacob (Marsiling-Yew Tee)).,True
2016-08-16,013-001-094-023,"Mr Amrin Amin (Sembawang), Parliamentary Secretary to the Minister for Home Affairs.",True
2016-08-16,013-001-094-023,Mr Ang Hin Kee (Ang Mo Kio).,True
2016-08-16,013-001-094-023,Mr Azmoon Ahmad (Nominated Member).,True
2016-08-16,013-001-094-023,"Mr Baey Yam Keng (Tampines), Parliamentary Secretary to the Minister for Culture, Community and Youth.",True
2016-08-16,013-001-094-023,"Mr Chan Chun Sing (Tanjong Pagar), Minister, Prime Minister's Office and Government Whip.",True
2016-08-16,013-001-094-023,Miss Cheryl Chan Wei Ling (Fengshan).,True
2016-08-16,013-001-094-023,"Mr Chee Hong Tat (Bishan-Toa Payoh), Minister of State for Communications and Information and Health.",True
2016-08-16,013-001-094-023,Mr Chen Show Mao (Aljunied).,True
2016-08-16,013-001-094-023,Miss Cheng Li Hui (Tampines).,True
2016-08-16,013-001-094-023,Dr Chia Shi-Lu (Tanjong Pagar).,True
2016-08-16,013-001-094-023,Ms Chia Yong Yong (Nominated Member).,True
2016-08-16,013-001-094-023,"Mr Charles Chong (Punggol East), Deputy Speaker.",True
2016-08-16,013-001-094-023,Mr Chong Kee Hiong (Bishan-Toa Payoh).,True
2016-08-16,013-001-094-023,Mr Desmond Choo (Tampines).,True
2016-08-16,013-001-094-023,Mr Thomas Chua Kee Seng (Nominated Member).,True
2016-08-16,013-001-094-023,Mr Darryl David (Ang Mo Kio).,True
2016-08-16,013-001-094-023,Mr Christopher de Souza (Holland-Bukit Timah).,True
2016-08-16,013-001-094-023,Assoc Prof Fatimah Lateef (Marine Parade).,True
2016-08-16,013-001-094-023,Mr Cedric Foo Chee Keng (Pioneer).,True
2016-08-16,013-001-094-023,Ms Foo Mee Har (West Coast).,True
2016-08-16,013-001-094-023,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health.",True
2016-08-16,013-001-094-023,Mr Gan Thiam Poh (Ang Mo Kio).,True
2016-08-16,013-001-094-023,Mr Ganesh Rajaram (Nominated Member).,True
2016-08-16,013-001-094-023,Mr Goh Chok Tong (Marine Parade).,True
2016-08-16,013-001-094-023,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member).,True
2016-08-16,013-001-094-023,"Mr Heng Chee How (Jalan Besar), Senior Minister of State, Prime Minister's Office.",True
2016-08-16,013-001-094-023,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Finance and Law.",True
2016-08-16,013-001-094-023,Dr Intan Azura Mokhtar (Ang Mo Kio).,True
2016-08-16,013-001-094-023,"Mr S Iswaran (West Coast), Minister for Trade and Industry (Industry).",True
2016-08-16,013-001-094-023,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport.",True
2016-08-16,013-001-094-023,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and the Environment and Water Resources.",True
2016-08-16,013-001-094-023,"Dr Koh Poh Koon (Ang Mo Kio), Minister of State for National Development and Trade and Industry.",True
2016-08-16,013-001-094-023,Mr Kok Heng Leun (Nominated Member).,True
2016-08-16,013-001-094-023,Ms Kuik Shiao-Yin (Nominated Member).,True
2016-08-16,013-001-094-023,Mr Kwek Hian Chuan Henry (Nee Soon).,True
2016-08-16,013-001-094-023,"Dr Lam Pin Min (Sengkang West), Minister of State for Health.",True
2016-08-16,013-001-094-023,Er Dr Lee Bee Wah (Nee Soon).,True
2016-08-16,013-001-094-023,"Mr Desmond Lee (Jurong), Senior Minister of State for Home Affairs and National Development and Deputy Leader of the House.",True
2016-08-16,013-001-094-023,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister.",True
2016-08-16,013-001-094-023,Mr Lee Yi Shyan (East Coast).,True
2016-08-16,013-001-094-023,Mr Liang Eng Hwa (Holland-Bukit Timah).,True
2016-08-16,013-001-094-023,"Mr Lim Biow Chuan (Mountbatten), Deputy Speaker.",True
2016-08-16,013-001-094-023,"Mr Lim Hng Kiang (West Coast), Minister for Trade and Industry (Trade).",True
2016-08-16,013-001-094-023,"Mr Lim Swee Say (East Coast), Minister for Manpower.",True
2016-08-16,013-001-094-023,Ms Sylvia Lim (Aljunied).,True
2016-08-16,013-001-094-023,Dr Lim Wee Kiak (Sembawang).,True
2016-08-16,013-001-094-023,Mr Low Thia Khiang (Aljunied).,True
2016-08-16,013-001-094-023,"Ms Low Yen Ling (Chua Chu Kang), Parliamentary Secretary to the Ministers for Trade and Industry and Acting Ministers for Education.",True
2016-08-16,013-001-094-023,Asst Prof Mahdev Mohan (Nominated Member).,True
2016-08-16,013-001-094-023,"Mr Masagos Zulkifli B M M (Tampines), Minister for the Environment and Water Resources.",True
2016-08-16,013-001-094-023,Mr Muhamad Faisal Bin Abdul Manap (Aljunied).,True
2016-08-16,013-001-094-023,"Assoc Prof Dr Muhammad Faishal Ibrahim (Nee Soon), Parliamentary Secretary to the Minister for Social and Family Development and Acting Ministers for Education.",True
2016-08-16,013-001-094-023,Mr Murali Pillai (Bukit Batok).,True
2016-08-16,013-001-094-023,Dr Lily Neo (Jalan Besar).,True
2016-08-16,013-001-094-023,"Mr Ng Chee Meng (Pasir Ris-Punggol), Acting Minister for Education (Schools) and Senior Minister of State for Transport.",True
2016-08-16,013-001-094-023,"Dr Ng Eng Hen (Bishan-Toa Payoh), Minister for Defence.",True
2016-08-16,013-001-094-023,Mr Louis Ng Kok Kwang (Nee Soon).,True
2016-08-16,013-001-094-023,Mr Ong Teng Koon (Marsiling-Yew Tee).,True
2016-08-16,013-001-094-023,"Mr Ong Ye Kung (Sembawang), Acting Minister for Education (Higher Education and Skills) and Senior Minister of State for Defence.",True
2016-08-16,013-001-094-023,Ms Joan Pereira (Tanjong Pagar).,True
2016-08-16,013-001-094-023,Mr Leon Perera (Non-Constituency Member).,True
2016-08-16,013-001-094-023,Ms Denise Phua Lay Peng (Jalan Besar).,True
2016-08-16,013-001-094-023,Mr Png Eng Huat (Hougang).,True
2016-08-16,013-001-094-023,Mr Pritam Singh (Aljunied).,True
2016-08-16,013-001-094-023,Ms Rahayu Mahzam (Jurong).,True
2016-08-16,013-001-094-023,Mr Saktiandi Supaat (Bishan-Toa Payoh).,True
2016-08-16,013-001-094-023,Mr Seah Kian Peng (Marine Parade).,True
2016-08-16,013-001-094-023,"Mr K Shanmugam (Nee Soon), Minister for Home Affairs and Minister for Law.",True
2016-08-16,013-001-094-023,Mr Sitoh Yih Pin (Potong Pasir).,True
2016-08-16,013-001-094-023,Ms Sun Xueling (Pasir Ris-Punggol).,True
2016-08-16,013-001-094-023,"Mr Sam Tan Chin Siong (Radin Mas), Minister of State, Prime Minister's Office and Minister of State for Manpower and Deputy Government Whip.",True
2016-08-16,013-001-094-023,"Mr Tan Chuan-Jin (Marine Parade), Minister for Social and Family Development.",True
2016-08-16,013-001-094-023,Mr Dennis Tan Lip Fong (Non-Constituency Member).,True
2016-08-16,013-001-094-023,Assoc Prof Randolph Tan (Nominated Member).,True
2016-08-16,013-001-094-023,Ms Jessica Tan Soon Neo (East Coast).,True
